date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,650859,Luis Rengifo,5,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,593428,Xander Bogaerts,6,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,630105,Jake Cronenworth,7,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,657757,Gavin Sheets,8,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,San Diego Padres,Atlanta Braves,away,823550,Sung-Mun Song,9,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,686948,Drake Baldwin,1,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,645277,Ozzie Albies,2,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,621566,Matt Olson,3,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,671739,Michael Harris II,4,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,663586,Austin Riley,5,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,643289,Mauricio Dubón,6,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,663698,Joey Bart,7,C,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,805347,Jim Jarvis,8,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
2026-07-23,824893,Atlanta Braves,San Diego Padres,home,676551,Brewer Hicklen,9,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Atlanta Braves,San Diego Padres,Truist Park,2026-07-23T16:15:00Z
