date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs
2026-07-07,823929,547179,Michael Lorenzen,Colorado Rockies,Los Angeles Dodgers,away,5,6.0,3,6,2
2026-07-07,823929,680736,Justin Wrobleski,Los Angeles Dodgers,Colorado Rockies,home,9,7.0,2,6,1
2026-07-08,823202,656302,Dylan Cease,Toronto Blue Jays,San Francisco Giants,away,11,8.0,3,1,0
2026-07-08,823202,657277,Logan Webb,San Francisco Giants,Toronto Blue Jays,home,2,7.0,2,5,5
2026-07-08,824815,607067,Colin Rea,Chicago Cubs,Baltimore Orioles,away,2,5.1,2,7,3
2026-07-08,824815,665152,Dean Kremer,Baltimore Orioles,Chicago Cubs,home,4,5.0,1,6,4
2026-07-08,824253,605488,Jeffrey Springs,Athletics,Detroit Tigers,away,4,4.1,4,6,6
2026-07-08,824253,675512,Troy Melton,Detroit Tigers,Athletics,home,9,5.1,1,4,0
2026-07-08,823360,656550,Grant Holmes,Atlanta Braves,Pittsburgh Pirates,away,5,5.0,1,3,0
2026-07-08,823360,683003,Jared Jones,Pittsburgh Pirates,Atlanta Braves,home,8,6.0,0,0,0
2026-07-08,823848,669923,George Kirby,Seattle Mariners,Miami Marlins,away,7,6.0,0,8,2
2026-07-08,823848,663969,Tyler Phillips,Miami Marlins,Seattle Mariners,home,3,5.0,2,4,0
2026-07-08,822957,543037,Gerrit Cole,New York Yankees,Tampa Bay Rays,away,6,6.1,1,7,3
2026-07-08,822957,663556,Shane McClanahan,Tampa Bay Rays,New York Yankees,home,5,6.1,0,4,0
2026-07-08,822710,681293,Spencer Arrighetti,Houston Astros,Washington Nationals,away,2,4.0,6,7,8
2026-07-08,822710,656492,Foster Griffin,Washington Nationals,Houston Astros,home,9,7.0,0,5,1
2026-07-08,823605,674444,Steven Cruz,Kansas City Royals,New York Mets,away,2,1.0,0,1,1
2026-07-08,823605,681035,Christian Scott,New York Mets,Kansas City Royals,home,5,5.0,1,3,0
2026-07-08,824496,660604,Alan Rangel,Philadelphia Phillies,Cincinnati Reds,away,5,3.1,3,3,3
2026-07-08,824496,695505,Chase Burns,Cincinnati Reds,Philadelphia Phillies,home,2,5.0,6,3,3
2026-07-08,823684,677944,Slade Cecconi,Cleveland Guardians,Minnesota Twins,away,4,3.2,1,6,3
2026-07-08,823684,687570,Connor Prielipp,Minnesota Twins,Cleveland Guardians,home,6,5.0,2,4,3
2026-07-08,824578,687562,Jake Bennett,Boston Red Sox,Chicago White Sox,away,4,7.0,1,4,0
2026-07-08,824578,663436,Davis Martin,Chicago White Sox,Boston Red Sox,home,2,4.0,2,6,5
2026-07-08,823032,690986,Kyle Harrison,Milwaukee Brewers,St. Louis Cardinals,away,2,4.0,0,4,3
2026-07-08,823032,700241,Michael McGreevy,St. Louis Cardinals,Milwaukee Brewers,home,6,6.1,1,5,1
2026-07-08,822880,700712,Walbert Ureña,Los Angeles Angels,Texas Rangers,away,3,4.0,5,1,0
2026-07-08,822880,669022,MacKenzie Gore,Texas Rangers,Los Angeles Angels,home,7,5.0,1,9,7
2026-07-08,823928,687312,Gabriel Hughes,Colorado Rockies,Los Angeles Dodgers,away,7,6.0,2,4,3
2026-07-08,823928,808963,Roki Sasaki,Los Angeles Dodgers,Colorado Rockies,home,5,6.0,1,4,3
2026-07-08,823279,703615,Jose Cabrera,Arizona Diamondbacks,San Diego Padres,away,2,4.1,2,4,4
2026-07-08,823279,650633,Michael King,San Diego Padres,Arizona Diamondbacks,home,4,6.0,2,4,1
2026-07-09,823359,693821,Bryce Elder,Atlanta Braves,Pittsburgh Pirates,away,3,4.0,2,5,3
2026-07-09,823359,656605,Mitch Keller,Pittsburgh Pirates,Atlanta Braves,home,3,3.0,2,4,3
2026-07-09,823606,608379,Michael Wacha,Kansas City Royals,New York Mets,away,5,4.2,3,6,6
2026-07-09,823606,640455,Sean Manaea,New York Mets,Kansas City Royals,home,6,7.0,1,6,2
2026-07-09,822954,621112,Paul Blackburn,New York Yankees,Tampa Bay Rays,away,3,2.0,0,2,1
2026-07-09,822954,656876,Drew Rasmussen,Tampa Bay Rays,New York Yankees,home,2,2.1,0,7,6
2026-07-09,824816,656849,David Peterson,Chicago Cubs,Baltimore Orioles,away,2,5.0,4,2,1
2026-07-09,824816,669432,Trevor Rogers,Baltimore Orioles,Chicago Cubs,home,4,6.0,2,5,1
2026-07-09,823683,668909,Gavin Williams,Cleveland Guardians,Minnesota Twins,away,11,7.0,1,3,2
2026-07-09,823683,641927,Bailey Ober,Minnesota Twins,Cleveland Guardians,home,5,5.0,1,3,1
2026-07-09,824577,663776,Patrick Sandoval,Boston Red Sox,Chicago White Sox,away,5,4.1,1,5,1
2026-07-09,824577,641743,Anthony Kay,Chicago White Sox,Boston Red Sox,home,4,5.1,2,4,2
