date,game_id,player_id,player_name,team,opponent,side,batting_order,position,prior_games,days_rest,projected_hits,projected_total_bases
2026-07-10,823200,696100,Hunter Goodman,Colorado Rockies,San Francisco Giants,away,4,C,87.0,1.0,0.808,1.425
2026-07-10,822709,660688,Keibert Ruiz,Washington Nationals,New York Yankees,home,9,C,60.0,2.0,0.854,1.422
2026-07-10,824575,671732,Lawrence Butler,Athletics,Chicago White Sox,away,1,RF,85.0,1.0,0.808,1.416
2026-07-10,823604,621438,Tyrone Taylor,New York Mets,Boston Red Sox,home,9,CF,52.0,1.0,0.731,1.414
2026-07-10,822955,683748,Victor Mesa Jr.,Tampa Bay Rays,Seattle Mariners,home,6,RF,30.0,1.0,0.817,1.403
2026-07-10,822878,694671,Wyatt Langford,Texas Rangers,Houston Astros,home,2,LF,41.0,1.0,1.013,1.402
2026-07-10,823845,805300,Jakob Marsee,Miami Marlins,Cleveland Guardians,home,8,CF,91.0,1.0,0.845,1.4
2026-07-10,823604,663853,Romy Gonzalez,Boston Red Sox,New York Mets,away,4,1B,8.0,1.0,0.805,1.397
2026-07-10,823278,593428,Xander Bogaerts,San Diego Padres,Toronto Blue Jays,home,3,SS,88.0,1.0,0.818,1.396
2026-07-10,823685,672724,Oswald Peraza,Los Angeles Angels,Minnesota Twins,away,7,2B,81.0,1.0,0.777,1.394
2026-07-10,823927,690976,Alex Freeland,Los Angeles Dodgers,Arizona Diamondbacks,home,4,SS,67.0,3.0,0.841,1.392
2026-07-10,823685,666139,Josh Lowe,Los Angeles Angels,Minnesota Twins,away,5,LF,58.0,1.0,0.769,1.389
2026-07-10,824575,675961,Alika Williams,Athletics,Chicago White Sox,away,5,SS,33.0,1.0,0.792,1.385
2026-07-10,823200,687529,Grant McCray,San Francisco Giants,Colorado Rockies,home,1,LF,,,0.816,1.384
2026-07-10,823278,630105,Jake Cronenworth,San Diego Padres,Toronto Blue Jays,home,7,PH,43.0,1.0,0.815,1.383
2026-07-10,824252,690993,Colt Keith,Detroit Tigers,Philadelphia Phillies,home,2,3B,83.0,2.0,0.756,1.382
2026-07-10,823845,696135,Kahlil Watson,Cleveland Guardians,Miami Marlins,away,6,CF,20.0,1.0,0.903,1.381
2026-07-10,823604,678011,Anthony Seigler,Boston Red Sox,New York Mets,away,1,2B,19.0,1.0,0.793,1.38
2026-07-10,822709,678391,Jorbit Vivas,Washington Nationals,New York Yankees,home,7,2B,68.0,2.0,0.808,1.376
2026-07-10,822709,686611,Dylan Crews,Washington Nationals,New York Yankees,home,3,LF,44.0,2.0,0.837,1.375
2026-07-10,822955,676439,Hunter Feduccia,Tampa Bay Rays,Seattle Mariners,home,9,C,50.0,3.0,0.79,1.372
2026-07-10,823927,606192,Teoscar Hernández,Los Angeles Dodgers,Arizona Diamondbacks,home,7,LF,60.0,2.0,0.808,1.368
2026-07-10,824252,680664,Eduardo Valencia,Detroit Tigers,Philadelphia Phillies,home,6,DH,1.0,1.0,0.732,1.366
2026-07-10,823685,807712,Luke Keaschall,Minnesota Twins,Los Angeles Angels,home,9,CF,88.0,1.0,0.746,1.357
2026-07-10,823278,672386,Alejandro Kirk,Toronto Blue Jays,San Diego Padres,away,5,C,23.0,2.0,0.807,1.356
2026-07-10,824575,695731,Braden Montgomery,Chicago White Sox,Athletics,home,5,RF,26.0,1.0,0.884,1.349
2026-07-10,824252,681546,James Outman,Detroit Tigers,Philadelphia Phillies,home,8,CF,71.0,1.0,0.807,1.342
2026-07-10,824575,666126,Carlos Cortes,Athletics,Chicago White Sox,away,2,P,70.0,2.0,0.757,1.339
2026-07-10,823278,650859,Luis Rengifo,San Diego Padres,Toronto Blue Jays,home,8,2B,57.0,14.0,0.826,1.332
2026-07-10,823845,691788,Joe Mack,Miami Marlins,Cleveland Guardians,home,9,C,50.0,2.0,0.75,1.327
2026-07-10,824817,694212,Samuel Basallo,Baltimore Orioles,Kansas City Royals,home,5,DH,80.0,1.0,0.749,1.323
2026-07-10,824575,691019,Kyle Teel,Chicago White Sox,Athletics,home,8,C,14.0,1.0,0.843,1.322
